id,line_id,from_station_id,to_station_id,cost_time_second,cost_meters
1,1,1,2,90,800
2,1,2,3,127,973
3,1,3,4,164,1146
4,1,4,5,201,1319
5,1,5,6,238,1492
6,1,6,7,125,1665
7,1,7,8,162,1838
8,1,8,9,199,2011
9,1,9,10,236,2184
10,1,10,11,123,2357
11,1,11,12,160,830
12,1,12,13,197,1003
13,1,13,14,234,1176
14,1,14,15,121,1349
15,1,15,16,158,1522
16,2,17,18,90,800
17,2,18,19,127,973
18,2,19,20,164,1146
19,2,20,21,201,1319
20,2,21,22,238,1492
21,2,22,23,125,1665
22,2,23,9,162,1838
23,2,9,24,199,2011
24,2,24,25,236,2184
25,2,25,26,123,2357
26,2,26,27,160,830
27,2,27,28,197,1003
28,2,28,29,234,1176
29,2,29,30,121,1349
30,2,30,31,158,1522
31,2,31,32,195,1695
32,2,32,33,232,1868
33,2,33,34,119,2041
34,2,34,35,156,2214
35,3,36,37,90,800
36,3,37,38,127,973
37,3,38,39,164,1146
38,3,39,40,201,1319
39,3,40,17,238,1492
40,3,17,41,125,1665
41,3,41,42,162,1838
42,3,42,43,199,2011
43,3,43,44,236,2184
44,3,44,45,123,2357
45,3,45,46,160,830
46,3,46,16,197,1003
47,3,16,47,234,1176
48,3,47,14,121,1349
49,3,14,48,158,1522
50,3,48,49,195,1695
51,3,49,50,232,1868
52,3,50,51,119,2041
53,3,51,52,156,2214
54,3,52,53,193,2387
55,3,53,54,230,860
56,3,54,55,117,1033
57,3,55,56,154,1206
