edge_id,point_order,x,y
1,0,176,360
1,1,176,336
2,0,176,336
2,1,176,312
3,0,176,312
3,1,176,288
4,0,176,288
4,1,228.8,264
5,0,228.8,264
5,1,281.6,240
6,0,281.6,240
6,1,352,240
7,0,352,240
7,1,422.40000000000003,240
8,0,422.40000000000003,240
8,1,492.80000000000007,240
9,0,492.80000000000007,240
9,1,563.2,240
10,0,563.2,240
10,1,633.6,240
11,0,633.6,240
11,1,704,240
12,0,704,240
12,1,774.4000000000001,240
13,0,774.4000000000001,240
13,1,880.0000000000001,240
14,0,880.0000000000001,240
14,1,950.4000000000001,216
15,0,950.4000000000001,216
15,1,950.4000000000001,168
16,0,633.6,32
16,1,492.80000000000007,56
17,0,492.80000000000007,56
17,1,492.80000000000007,80
18,0,492.80000000000007,80
18,1,492.80000000000007,104
19,0,492.80000000000007,104
19,1,492.80000000000007,128
20,0,492.80000000000007,128
20,1,492.80000000000007,160
21,0,492.80000000000007,160
21,1,492.80000000000007,200
22,0,492.80000000000007,200
22,1,492.80000000000007,240
23,0,492.80000000000007,240
23,1,492.80000000000007,280
24,0,492.80000000000007,280
24,1,492.80000000000007,312
25,0,492.80000000000007,312
25,1,492.80000000000007,344
26,0,492.80000000000007,344
26,1,492.80000000000007,376
27,0,492.80000000000007,376
27,1,492.80000000000007,408
28,0,492.80000000000007,408
28,1,492.80000000000007,440
29,0,492.80000000000007,440
29,1,492.80000000000007,472
30,0,492.80000000000007,472
30,1,492.80000000000007,504
31,0,492.80000000000007,504
31,1,492.80000000000007,536
32,0,492.80000000000007,536
32,1,492.80000000000007,568
33,0,492.80000000000007,568
33,1,492.80000000000007,600
34,0,492.80000000000007,600
34,1,492.80000000000007,632
35,0,774.4000000000001,-160
35,1,774.4000000000001,-128
36,0,774.4000000000001,-128
36,1,774.4000000000001,-96
37,0,774.4000000000001,-96
37,1,774.4000000000001,-64
38,0,774.4000000000001,-64
38,1,704,-32
39,0,704,-32
39,1,633.6,32
40,0,633.6,32
40,1,704,64
41,0,704,64
41,1,774.4000000000001,80
42,0,774.4000000000001,80
42,1,844.8000000000001,96
43,0,844.8000000000001,96
43,1,915.2,112
44,0,915.2,112
44,1,985.6000000000001,128
45,0,985.6000000000001,128
45,1,1020.8000000000001,152
46,0,1020.8000000000001,152
46,1,950.4000000000001,168
47,0,950.4000000000001,168
47,1,880.0000000000001,200
48,0,880.0000000000001,200
48,1,880.0000000000001,240
49,0,880.0000000000001,240
49,1,880.0000000000001,280
50,0,880.0000000000001,280
50,1,880.0000000000001,320
51,0,880.0000000000001,320
51,1,880.0000000000001,352
52,0,880.0000000000001,352
52,1,880.0000000000001,384
53,0,880.0000000000001,384
53,1,880.0000000000001,416
54,0,880.0000000000001,416
54,1,880.0000000000001,448
55,0,880.0000000000001,448
55,1,880.0000000000001,480
56,0,880.0000000000001,480
56,1,880.0000000000001,520
57,0,880.0000000000001,520
57,1,880.0000000000001,560
