station_id,x,y,label_dx,label_dy,label_anchor
1,176,360,2,0,right
2,176,336,2,0,right
3,176,312,2,0,right
4,176,288,2,0,right
5,228.8,264,2,0,right
6,281.6,240,2,0,right
7,352,240,2,0,right
8,422.40000000000003,240,2,0,right
9,492.80000000000007,240,2,0,right
10,563.2,240,2,0,right
11,633.6,240,2,0,right
12,704,240,2,0,right
13,774.4000000000001,240,2,0,right
14,880.0000000000001,240,2,0,right
15,950.4000000000001,216,2,0,right
16,950.4000000000001,168,2,0,right
17,633.6,32,-2,0,left
18,492.80000000000007,56,-2,0,left
19,492.80000000000007,80,-2,0,left
20,492.80000000000007,104,-2,0,left
21,492.80000000000007,128,-2,0,left
22,492.80000000000007,160,-2,0,left
23,492.80000000000007,200,-2,0,left
24,492.80000000000007,280,-2,0,left
25,492.80000000000007,312,-2,0,left
26,492.80000000000007,344,-2,0,left
27,492.80000000000007,376,-2,0,left
28,492.80000000000007,408,-2,0,left
29,492.80000000000007,440,-2,0,left
30,492.80000000000007,472,-2,0,left
31,492.80000000000007,504,-2,0,left
32,492.80000000000007,536,-2,0,left
33,492.80000000000007,568,-2,0,left
34,492.80000000000007,600,-2,0,left
35,492.80000000000007,632,-2,0,left
36,774.4000000000001,-160,2,0,right
37,774.4000000000001,-128,2,0,right
38,774.4000000000001,-96,2,0,right
39,774.4000000000001,-64,2,0,right
40,704,-32,2,0,right
41,704,64,2,0,right
42,774.4000000000001,80,2,0,right
43,844.8000000000001,96,2,0,right
44,915.2,112,2,0,right
45,985.6000000000001,128,2,0,right
46,1020.8000000000001,152,2,0,right
47,880.0000000000001,200,2,0,right
48,880.0000000000001,280,2,0,right
49,880.0000000000001,320,2,0,right
50,880.0000000000001,352,2,0,right
51,880.0000000000001,384,2,0,right
52,880.0000000000001,416,2,0,right
53,880.0000000000001,448,2,0,right
54,880.0000000000001,480,2,0,right
55,880.0000000000001,520,2,0,right
56,880.0000000000001,560,2,0,right
