id,name,pinyin_name,en_name
1,西朗,xilang,Xilang
2,坑口,kengkou,Kengkou
3,花地湾,huadiwan,Huadiwan
4,芳村,fangcun,Fangcun
5,黄沙,huangsha,Huangsha
6,长寿路,changshoulu,Changshou Lu
7,陈家祠,chenjiaci,Chen Clan Ancestral Hall
8,西门口,ximenkou,Ximenkou
9,公园前,gongyuanqian,Gongyuanqian
10,农讲所,nongjiangsuo,Peasant Movement Institute
11,烈士陵园,lieshilingyuan,Martyrs' Park
12,东山口,dongshankou,Dongshankou
13,杨箕,yangji,Yangji
14,体育西路,tiyuxilu,Tiyu Xilu
15,体育中心,tiyuzhongxin,Tianhe Sports Center
16,广州东站,guangzhoudongzhan,Guangzhou East Railway Station
17,嘉禾望岗,jiahewanggang,Jiahewanggang
18,白云公园,baiyungongyuan,Baiyun Park
19,飞翔公园,feixianggongyuan,Feixiang Park
20,三元里,sanyuanli,Sanyuanli
21,广州火车站,guangzhouhuochezhan,Guangzhou Railway Station
22,越秀公园,yuexiugongyuan,Yuexiu Park
23,纪念堂,jiniantang,Sun Yat-sen Memorial Hall
24,海珠广场,haizhuguangchang,Haizhu Square
25,市二宫,shi'ergong,Shi'er Gong
26,江南西,jiangnanxi,Jiangnanxi
27,昌岗,changgang,Changgang
28,江泰路,jiangtailu,Jiangtai Lu
29,东晓南,dongxiaonan,Dongxiaonan
30,南洲,nanzhou,Nanzhou
31,洛溪,luoxi,Luoxi
32,南浦,nanpu,Nanpu
33,会江,huijiang,Huijiang
34,石壁,shibi,Shibi
35,广州南站,guangzhounanzhan,Guangzhou South Railway Station
36,机场北,jichangbei,Airport North
37,机场南,jichangnan,Airport South
38,高增,gaozeng,Gaozeng
39,人和,renhe,Renhe
40,龙归,longgui,Longgui
41,白云大道北,baiyundadaobei,Baiyun Dadaobei
42,永泰,yongtai,Yongtai
43,同和,tonghe,Tonghe
44,京溪南方医院,jingxinanfangyiyuan,Jingxi Nanfang Hospital
45,梅花园,meihuayuan,Meihuayuan
46,燕塘,yantang,Yantang
47,林和西,linhexi,Linhexi
48,珠江新城,zhujiangxincheng,Zhujiang New Town
49,客村,kecun,Kecun
50,大塘,datang,Datang
51,沥滘,lijiao,Lijiao
52,厦滘,xiajiao,Xiajiao
53,大石,dashi,Dashi
54,汉溪长隆,hanxichanglong,Hanxi Changlong
55,市桥,shiqiao,Shiqiao
56,番禺广场,fanyuguangchang,Panyu Square
